W2MID3,F3_B1
OMUX_E7,F3_B1
W2END2,F3_B1
N2MID3,F3_B1
E2MID2,F3_B1
E2END2,F3_B1
W2MID2,F3_B1
OMUX_WN14,F3_B1
S2END2,F3_B1
S2MID2,F3_B1
N2END2,F3_B1
S2MID3,F3_B1
N2MID2,F3_B1
OMUX_S4,F3_B1
OMUX_W6,F3_B1
VCC_PINWIRE,F3_B1
W2BEG2,F3_B1
X2,F3_B1
E2BEG5,F3_B2
W2END5,F3_B2
OMUX_N11,F3_B2
E2MID5,F3_B2
OMUX_S3,F3_B2
W2MID4,F3_B2
S2BEG4,F3_B2
E2MID4,F3_B2
W2MID5,F3_B2
OMUX9,F3_B2
OMUX_SE3,F3_B2
Y2,F3_B2
E2END5,F3_B2
S2MID5,F3_B2
S2MID4,F3_B2
X1,F3_B2
VCC_PINWIRE,F3_B2
OMUX_E8,F3_B2
OMUX_WS1,F3_B2
N2END5,F3_B2
W2BEG4,F3_B2
OMUX_W9,F3_B2
N2MID5,F3_B2
S2END5,F3_B2
N2MID4,F3_B2
N2MID2,F3_B3
W2BEG2,F3_B3
N2END3,F3_B3
W2MID2,F3_B3
N2MID3,F3_B3
S2MID3,F3_B3
S2MID2,F3_B3
E2BEG3,F3_B3
Y1,F3_B3
S2END3,F3_B3
VCC_PINWIRE,F3_B3
OMUX_E7,F3_B3
E2MID2,F3_B3
OMUX_S4,F3_B3
OMUX6,F3_B3
W2END3,F3_B3
E2END3,F3_B3
OMUX_NE12,F3_B3
W2MID3,F3_B3
OMUX_WN14,F3_B3
OMUX_N12,F3_B3
X2,F3_B3
E2MID3,F3_B3
S2BEG2,F3_B3
OMUX_W6,F3_B3
F4_B0,F4_B_PINWIRE0
F4_B1,F4_B_PINWIRE1
F4_B2,F4_B_PINWIRE2
F4_B3,F4_B_PINWIRE3
E2BEG0,F4_B0
S2MID0,F4_B0
S2BEG0,F4_B0
W2MID0,F4_B0
E2END1,F4_B0
E2MID1,F4_B0
N2MID1,F4_B0
OMUX_EN8,F4_B0
VCC_PINWIRE,F4_B0
E2MID0,F4_B0
OMUX_NW10,F4_B0
X3,F4_B0
Y0,F4_B0
W2MID1,F4_B0
W2BEG0,F4_B0
N2MID0,F4_B0
OMUX_S0,F4_B0
OMUX_W1,F4_B0
S2MID1,F4_B0
OMUX_E2,F4_B0
N2END1,F4_B0
S2END1,F4_B0
OMUX_N10,F4_B0
OMUX2,F4_B0
W2END1,F4_B0
N2MID7,F4_B1
X0,F4_B1
E2BEG7,F4_B1
OMUX_ES7,F4_B1
N2END6,F4_B1
W2END6,F4_B1
OMUX_E13,F4_B1
OMUX_SW5,F4_B1
S2BEG6,F4_B1
Y3,F4_B1
E2END6,F4_B1
W2MID7,F4_B1
E2MID6,F4_B1
E2MID7,F4_B1
S2MID7,F4_B1
OMUX13,F4_B1
N2MID6,F4_B1
VCC_PINWIRE,F4_B1
W2BEG6,F4_B1
S2MID6,F4_B1
S2END6,F4_B1
OMUX_N15,F4_B1
OMUX_S5,F4_B1
W2MID6,F4_B1
OMUX_W14,F4_B1
E2BEG0,F4_B2
N2END0,F4_B2
OMUX_N10,F4_B2
W2BEG0,F4_B2
S2END0,F4_B2
E2MID0,F4_B2
W2END0,F4_B2
OMUX_EN8,F4_B2
OMUX_W1,F4_B2
W2MID1,F4_B2
N2MID0,F4_B2
VCC_PINWIRE,F4_B2
OMUX_E2,F4_B2
X3,F4_B2
W2MID0,F4_B2
S2MID0,F4_B2
OMUX2,F4_B2
S2MID1,F4_B2
OMUX_NW10,F4_B2
E2END0,F4_B2
